name,country,tier,display,cost,rent,cost_source,rent_source,salary_h1b,fh,ubs_risk,prod_cost_delta%,prod_rent_delta%
特拉维夫,以色列,C,warn,2453,932,v4:US3200×geomean(wbPLI=0.95;digPLI=0.62)×prem1×none1.00,cost×rentShare(0.38),,74,,14.4,-22.6
海得拉巴,印度,C,warn,676,189,v4:US3200×geomean(wbPLI=0.24;digPLI=0.18)×prem1×none1.00,cost×rentShare(0.28),,66,,-37.8,-66.5
浦那,印度,C,warn,676,189,v4:US3200×geomean(wbPLI=0.24;digPLI=0.18)×prem1×none1.00,cost×rentShare(0.28),,66,,-34,-64.3
基辅,乌克兰,C,warn,930,260,v4:US3200×geomean(wbPLI=0.29;digPLI=undefined)×prem1×none1.00,cost×rentShare(0.28),,49,,-31.6,-64.6
布加勒斯特,罗马尼亚,B,keep,789,300,v4:US3200×geomean(wbPLI=0.41;digPLI=0.53)×prem1×Eurostat-PLI0.53,cost×rentShare(0.38),,83,,-51,-63
索非亚,保加利亚,B,keep,729,277,v4:US3200×geomean(wbPLI=0.42;digPLI=undefined)×prem1×Eurostat-PLI0.54,cost×rentShare(0.38),,78,,-55.4,-66.3
萨格勒布,克罗地亚,B,keep,1064,404,v4:US3200×geomean(wbPLI=0.49;digPLI=undefined)×prem1×Eurostat-PLI0.69,cost×rentShare(0.38),,83,,-44.5,-59.2
贝尔格莱德,塞尔维亚,D,drop,,,null,null,,,,,
布达佩斯,匈牙利,A,keep,1166,695,v4:US3200×geomean(wbPLI=0.48;digPLI=0.60)×prem1.1×Eurostat-PLI0.62,InsideAirbnb×10.2,,65,,-34.8,-24
布拉迪斯拉发,斯洛伐克,B,keep,1374,522,v4:US3200×geomean(wbPLI=0.54;digPLI=undefined)×prem1×Eurostat-PLI0.80,cost×rentShare(0.38),,,,-35.3,-53.3
卢布尔雅那,斯洛文尼亚,B,keep,1685,640,v4:US3200×geomean(wbPLI=0.60;digPLI=undefined)×prem1×Eurostat-PLI0.88,cost×rentShare(0.38),,,,-26,-47.1
都柏林,爱尔兰,A,keep,4754,3303,v4:US3200×geomean(wbPLI=0.85;digPLI=1.07)×prem1.1×Eurostat-PLI1.42,InsideAirbnb×13.6,,97,,49.9,86
贝尔法斯特,英国,S,keep,3716,1177,v4:US3200×geomean(wbPLI=0.86;digPLI=1.00)×prem1×Eurostat-PLI1.25,ONS-2026,,91,,38.9,-20.3
亚特兰大,美国,S,keep,3078,1811,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP0.97,Zillow-ZORI-2026-03-31,h1b(9prof,n=29),83,,-10.9,-18.7
凤凰城,美国,S,keep,3151,1735,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP0.99,Zillow-ZORI-2026-03-31,h1b(8prof,n=23),83,,-10.9,-23.9
波特兰,美国,S,keep,3370,1780,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP1.06,Zillow-ZORI-2026-03-31,h1b(4prof,n=9),83,,-11,-27
圣地亚哥,美国,S,keep,4119,2890,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1.1×BEA-RPP1.18,Zillow-ZORI-2026-03-31,,83,,-2,6.7
拉斯维加斯,美国,S,keep,3097,1727,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP0.97,Zillow-ZORI-2026-03-31,,83,,-11,-22.9
