name,country,tier,display,cost_v8,cost_prod,cost_delta%,rent_v8,rent_prod,rent_delta%,cost_source,rent_source,salary_override,fh,ubs_risk,osm
安曼,约旦,B,keep,1502,1088,38.1,421,565,-25.5,v4:US3200×geomean(wbPLI=0.43;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.28),,33,,
特拉维夫,以色列,B,keep,2453,2144,14.4,932,1204,-22.6,v4:US3200×geomean(wbPLI=0.95;digPLI=0.62)×prem1×none1.00,cost×rentShare(0.38),,74,,
海得拉巴,印度,C,warn,676,1086,-37.8,189,564,-66.5,v4:US3200×geomean(wbPLI=0.24;digPLI=0.18)×prem1×none1.00,cost×rentShare(0.28),,66,,
浦那,印度,C,warn,676,1025,-34.0,189,529,-64.3,v4:US3200×geomean(wbPLI=0.24;digPLI=0.18)×prem1×none1.00,cost×rentShare(0.28),,66,,
基辅,乌克兰,C,warn,930,1360,-31.6,260,734,-64.6,v4:US3200×geomean(wbPLI=0.29;digPLI=undefined)×prem1×none1.00,cost×rentShare(0.28),,49,,
布加勒斯特,罗马尼亚,C,warn,789,1611,-51.0,300,810,-63.0,v4:US3200×geomean(wbPLI=0.41;digPLI=0.53)×prem1×Eurostat-PLI0.53,cost×rentShare(0.38),,83,,
索非亚,保加利亚,C,warn,729,1634,-55.4,277,823,-66.3,v4:US3200×geomean(wbPLI=0.42;digPLI=undefined)×prem1×Eurostat-PLI0.54,cost×rentShare(0.38),,78,,
萨格勒布,克罗地亚,C,warn,1064,1918,-44.5,404,991,-59.2,v4:US3200×geomean(wbPLI=0.49;digPLI=undefined)×prem1×Eurostat-PLI0.69,cost×rentShare(0.38),,83,,
贝尔格莱德,塞尔维亚,D,drop,,1689,,,856,,null,null,,,,
布达佩斯,匈牙利,A,keep,1166,1788,-34.8,695,914,-24.0,v4:US3200×geomean(wbPLI=0.48;digPLI=0.60)×prem1.1×Eurostat-PLI0.62,InsideAirbnb×10.2,,65,,
