name,country,tier,display,cost_v8,cost_prod,cost_delta%,rent_v8,rent_prod,rent_delta%,cost_source,rent_source,salary_override,fh,ubs_risk,osm
费城,美国,S,keep,3389,3806,-11.0,1869,2452,-23.8,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP1.07,Zillow-ZORI-2026-03-31,130670→110000(-15.8%),83,,
卡尔加里,加拿大,A,keep,2511,2487,1.0,1146,1606,-28.6,v4:US3200×geomean(wbPLI=0.84;digPLI=0.73)×prem1×none1.00,StatCan-CMHC-2024,,97,,
珀斯,澳大利亚,B,keep,2474,2885,-14.2,940,1330,-29.3,v4:US3200×geomean(wbPLI=0.90;digPLI=0.67)×prem1×none1.00,cost×rentShare(0.38),,95,,
麦德林,哥伦比亚,B,keep,1237,1409,-12.2,396,537,-26.3,v4:US3200×geomean(wbPLI=0.35;digPLI=0.42)×prem1×none1.00,cost×rentShare(0.32),,70,,
第比利斯,格鲁吉亚,D,drop,,907,,,467,,null,null,,,,
拉各斯,尼日利亚,C,warn,520,985,-47.2,114,263,-56.7,v4:US3200×geomean(wbPLI=0.12;digPLI=0.22)×prem1×none1.00,cost×rentShare(0.22),,44,,
莫斯科,俄罗斯,C,warn,1005,1971,-49.0,382,1109,-65.6,v4:US3200×geomean(wbPLI=0.31;digPLI=undefined)×prem1×none1.00,cost×rentShare(0.38),,13,,
圣何塞(美国),美国,C,warn,3983,4473,-11.0,1514,2882,-47.5,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP1.25,cost×rentShare(0.38),,83,,
渥太华,加拿大,A,keep,2762,2266,21.9,1072,1052,1.9,v4:US3200×geomean(wbPLI=0.84;digPLI=0.73)×prem1.1×none1.00,StatCan-CMHC-2024,,97,,
卢森堡市,卢森堡,B,keep,4332,3342,29.6,1646,1887,-12.8,v4:US3200×geomean(wbPLI=0.88;digPLI=undefined)×prem1×Eurostat-PLI1.53,cost×rentShare(0.38),,,,
塔林,爱沙尼亚,C,warn,1952,2389,-18.3,742,1279,-42.0,v4:US3200×geomean(wbPLI=0.63;digPLI=0.67)×prem1×Eurostat-PLI0.94,cost×rentShare(0.38),,,,
福冈,日本,C,warn,1635,2533,-35.5,621,1374,-54.8,v4:US3200×geomean(wbPLI=0.62;digPLI=0.42)×prem1×none1.00,cost×rentShare(0.38),,96,,
巴厘岛,印度尼西亚,C,warn,978,597,63.8,274,290,-5.5,v4:US3200×geomean(wbPLI=0.30;digPLI=0.31)×prem1×none1.00,cost×rentShare(0.28),,57,,
岘港,越南,C,warn,827,972,-14.9,232,498,-53.4,v4:US3200×geomean(wbPLI=0.29;digPLI=0.23)×prem1×none1.00,cost×rentShare(0.28),,19,,
波尔图,葡萄牙,C,warn,1742,2229,-21.8,662,1180,-43.9,v4:US3200×geomean(wbPLI=0.57;digPLI=0.72)×prem1×Eurostat-PLI0.85,cost×rentShare(0.38),,96,,
瓦伦西亚,西班牙,B,keep,2245,2330,-3.6,853,1246,-31.5,v4:US3200×geomean(wbPLI=0.61;digPLI=0.93)×prem1×Eurostat-PLI0.93,cost×rentShare(0.38),,90,,
斯普利特,克罗地亚,C,warn,1064,1918,-44.5,404,991,-59.2,v4:US3200×geomean(wbPLI=0.49;digPLI=undefined)×prem1×Eurostat-PLI0.69,cost×rentShare(0.38),,83,,
普吉岛,泰国,B,keep,1236,1121,10.3,396,584,-32.2,v4:US3200×geomean(wbPLI=0.30;digPLI=0.50)×prem1×none1.00,cost×rentShare(0.32),,36,,
蒙得维的亚,乌拉圭,B,keep,2311,1936,19.4,740,765,-3.3,v4:US3200×geomean(wbPLI=0.66;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.32),,,,
拉斯帕尔马斯,西班牙,B,keep,2245,2330,-3.6,853,1246,-31.5,v4:US3200×geomean(wbPLI=0.61;digPLI=0.93)×prem1×Eurostat-PLI0.93,cost×rentShare(0.38),,90,,
槟城,马来西亚,C,warn,1176,1546,-23.9,376,836,-55.0,v4:US3200×geomean(wbPLI=0.31;digPLI=0.44)×prem1×none1.00,cost×rentShare(0.32),,53,,
弗洛里亚诺波利斯,巴西,B,keep,1352,1694,-20.2,433,659,-34.3,v4:US3200×geomean(wbPLI=0.46;digPLI=0.39)×prem1×none1.00,cost×rentShare(0.32),,72,,
京都,日本,C,warn,1635,2602,-37.2,621,1412,-56.0,v4:US3200×geomean(wbPLI=0.62;digPLI=0.42)×prem1×none1.00,cost×rentShare(0.38),,96,,
卡萨布兰卡,摩洛哥,C,warn,1353,849,59.4,379,223,70.0,v4:US3200×geomean(wbPLI=0.40;digPLI=0.45)×prem1×none1.00,cost×rentShare(0.28),,37,,
惠灵顿,新西兰,B,keep,2710,3059,-11.4,1030,1420,-27.5,v4:US3200×geomean(wbPLI=0.89;digPLI=0.67)×prem1.1×none1.00,cost×rentShare(0.38),,99,,
维尔纽斯,立陶宛,C,warn,1357,2032,-33.2,516,1060,-51.3,v4:US3200×geomean(wbPLI=0.53;digPLI=0.61)×prem1×Eurostat-PLI0.74,cost×rentShare(0.38),,,,
里加,拉脱维亚,A,keep,1406,2072,-32.1,798,1084,-26.4,v4:US3200×geomean(wbPLI=0.54;digPLI=0.61)×prem1×Eurostat-PLI0.77,InsideAirbnb×13.6,,,,
尼科西亚,塞浦路斯,C,warn,1874,2410,-22.2,712,1292,-44.9,v4:US3200×geomean(wbPLI=0.61;digPLI=undefined)×prem1×Eurostat-PLI0.95,cost×rentShare(0.38),,,,
圣多明各,多米尼加,D,drop,,1427,,,865,,null,null,,,,
基多,厄瓜多尔,D,drop,,2046,,,813,,null,null,,,,
阿克拉,加纳,C,warn,954,1282,-25.6,210,353,-40.5,v4:US3200×geomean(wbPLI=0.30;digPLI=undefined)×prem1×none1.00,cost×rentShare(0.22),,,,
亚的斯亚贝巴,埃塞俄比亚,B,keep,1214,1229,-1.2,267,336,-20.5,v4:US3200×geomean(wbPLI=0.34;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.22),,,,
